Symbol,Name,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %
FSM,Fortuna Mining Corp.,6.61,-0.02,-0.30%,8.147M,16.028M,2.029B,12.71,+31.41%
UBER,"Uber Technologies, Inc.",93.63,+1.58,+1.72%,8.113M,22.179M,195.796B,16.40,+31.41%
RKLB,Rocket Lab Corporation,35.66,-0.02,-0.06%,7.871M,20.487M,16.455B,--,+617.51%
VOD,Vodafone Group Public Limited Company,10.78,+0.11,+1.03%,7.778M,15.877M,26.438B,--,+18.98%
TSM,Taiwan Semiconductor Manufacturing Company Limited,234.80,+1.20,+0.51%,7.711M,14.534M,1.218T,27.56,+25.81%
JHX,James Hardie Industries plc,28.77,+0.42,+1.48%,11.898M,4.964M,12.544B,29.36,-9.50%
LYFT,"Lyft, Inc.",16.15,+0.44,+2.80%,7.579M,16.775M,6.793B,107.67,+19.81%
FCX,Freeport-McMoRan Inc.,45.80,+0.03,+0.07%,7.607M,14.281M,65.778B,37.54,-10.42%
MRK,"Merck & Co., Inc.",80.93,-1.46,-1.77%,7.512M,16.691M,203.218B,11.76,-35.66%
WMT,Walmart Inc.,98.36,+0.75,+0.77%,7.686M,19.202M,784.954B,42.03,+41.16%
HAL,Halliburton Company,21.52,-0.19,-0.88%,7.248M,15.38M,18.501B,9.00,-35.20%
AEG,Aegon Ltd.,7.28,+0.08,+1.11%,7.03M,12.508M,11.488B,16.55,+17.80%
UEC,Uranium Energy Corp.,6.62,0.00,0.00%,7.089M,12.573M,2.942B,--,+10.89%
ENPH,"Enphase Energy, Inc.",42.57,+1.60,+3.91%,7M,8.149M,5.585B,39.06,-58.59%
MRNA,"Moderna, Inc.",30.49,+0.21,+0.69%,6.973M,10.783M,11.792B,--,-73.82%
ET,Energy Transfer LP,17.97,+0.07,+0.39%,7.003M,15.045M,61.669B,13.61,+11.68%
COTY,Coty Inc.,5.09,0.00,0.00%,7.216M,8.798M,4.44B,--,-48.90%
HUT,Hut 8 Corp.,21.90,+0.82,+3.89%,6.854M,6.751M,2.523B,--,+25.29%
XPEV,XPeng Inc.,18.85,+0.48,+2.61%,6.877M,8.328M,16.766B,--,+153.02%
PATH,UiPath Inc.,13.29,+0.44,+3.42%,6.854M,12.311M,7.111B,--,+3.67%
DKNG,DraftKings Inc.,40.77,-0.55,-1.33%,6.795M,10.515M,20.234B,--,+8.46%
USB,U.S. Bancorp,47.93,+0.44,+0.93%,7.032M,10.425M,74.676B,11.86,+21.46%
BMY,Bristol-Myers Squibb Company,46.92,-0.09,-0.19%,7.024M,15.512M,95.486B,17.51,+17.33%
AZN,AstraZeneca PLC,69.45,-1.68,-2.36%,6.762M,5.229M,215.914B,27.89,-9.96%
SLB,Schlumberger Limited,35.65,-0.26,-0.72%,7.241M,16.384M,48.162B,12.08,-22.90%
COIN,"Coinbase Global, Inc.",355.80,+1.35,+0.38%,6.704M,13.08M,90.624B,66.63,+61.32%
WBA,"Walgreens Boots Alliance, Inc.",11.47,-0.02,-0.17%,6.65M,10.074M,9.928B,--,+6.01%
CPNG,"Coupang, Inc.",30.29,+0.26,+0.87%,6.625M,10.417M,54.995B,216.36,+41.48%
PG,The Procter & Gamble Company,160.83,-0.37,-0.23%,7M,8.465M,377.072B,25.53,-3.42%
LUMN,"Lumen Technologies, Inc.",4.6000,+0.1500,+3.37%,6.549M,11.612M,4.719B,--,+333.96%
SAN,"Banco Santander, S.A.",8.55,+0.09,+1.06%,7.074M,6.317M,127.106B,9.00,+80.00%
FSLR,"First Solar, Inc.",185.03,+14.51,+8.51%,6.4M,5.22M,19.843B,15.72,-18.53%
TEM,"Tempus AI, Inc.",60.97,+1.79,+3.02%,6.389M,13.153M,10.555B,--,+83.64%
VTRS,Viatris Inc.,9.32,-0.02,-0.21%,6.342M,14.619M,10.939B,--,-12.16%
JPM,JPMorgan Chase & Co.,296.00,+5.40,+1.86%,6.48M,9.684M,822.611B,14.52,+44.27%
PR,Permian Resources Corporation,14.06,-0.11,-0.78%,6.54M,11.605M,11.246B,8.57,-13.21%
CVE,Cenovus Energy Inc.,14.16,-0.09,-0.63%,6.144M,12.713M,25.683B,12.76,-27.68%
AVTR,"Avantor, Inc.",13.88,-0.01,-0.07%,6.226M,12.86M,9.458B,13.35,-33.72%
DAL,"Delta Air Lines, Inc.",50.86,+0.73,+1.46%,6.123M,11.224M,33.209B,9.02,+9.73%
EXEL,"Exelixis, Inc.",46.15,+1.85,+4.18%,6.04M,3.323M,12.585B,21.07,+108.92%
ASTS,"AST SpaceMobile, Inc.",45.60,-0.11,-0.24%,6.027M,12.954M,15.431B,--,+276.86%
UNH,UnitedHealth Group Incorporated,308.55,+0.99,+0.32%,6.062M,17.782M,279.898B,12.92,-36.95%
QXO,"QXO, Inc.",21.98,+0.39,+1.81%,6.098M,8.953M,14.734B,--,-55.23%
CAG,"Conagra Brands, Inc.",20.99,-0.15,-0.71%,6.101M,7.054M,10.02B,30.87,-26.09%
